,GeoAreaName,Time_Detail,BOTHSEX.SKILL_READ.GRAD23,BOTHSEX.SKILL_READ.LOWSEC,FEMALE.SKILL_MATH.GRAD23,FEMALE.SKILL_MATH.LOWSEC,MALE.SKILL_MATH.GRAD23,BOTHSEX.SKILL_MATH.PRIMAR,MALE.SKILL_READ.GRAD23,MALE.SKILL_MATH.LOWSEC,FEMALE.SKILL_READ.LOWSEC,BOTHSEX.SKILL_READ.PRIMAR,FEMALE.SKILL_READ.GRAD23,BOTHSEX.SKILL_MATH.LOWSEC,MALE.SKILL_READ.PRIMAR,FEMALE.SKILL_READ.PRIMAR,BOTHSEX.SKILL_MATH.GRAD23,MALE.SKILL_MATH.PRIMAR,MALE.SKILL_READ.LOWSEC,FEMALE.SKILL_MATH.PRIMAR
10,Brazil,2013,80.21203239470809,59.694244923605766,72.71783517986891,47.67333333333334,68.6388266950631,51.6961877423973,75.7208075542713,51.59,61.66,53.052560610634394,84.730114751884,49.59380211472956,51.7444697672355,54.2323783504119,70.71033499256691,54.7448400343484,45.166666666666664,48.74705219893929
11,Belize,2001,25.2179546251148,38.0448334245869,14.397323842389122,28.415388609796498,15.048613659443072,15.998114294147078,21.560335751613803,28.342291555259763,41.67333333333333,23.160888250602,29.6990470973832,28.40191514575697,22.120456267822963,24.322584919661367,14.517526329133398,17.79823624731428,34.876666666666665,14.018811136192626
12,Burundi,2014,79.01,62.4024331953403,97.07,65.4658190936899,97.43,39.9,81.07,66.4094063912894,70.13666666666666,7.4,78.87,65.9192742862014,41.376843280259095,45.757748491546806,97.24,28.75,53.416666666666664,54.01
13,Cameroon,2014,29.54,38.0448334245869,51.33,35.03,62.78,11.8,31.85,44.71,41.67333333333333,24.1,27.31,39.77984147422813,22.12,26.52,56.95,11.45,34.876666666666665,10.75
14,Canada,2001,96.9073578586105,78.7926097464363,83.66218837723125,80.13303253594476,83.95510923572677,68.07642678844826,95.9352657787899,81.59469250184873,85.30666666666666,70.97259967171652,97.8955841827006,80.87574497550233,68.69225796727477,73.45903351888636,83.7988546410443,67.3799916980754,72.06666666666668,68.8193781094737
15,Canada,2011,97.75077833597071,79.04236213241143,71.36230616600177,73.64388010892154,74.11731993455408,68.07642678844826,97.29483306016891,76.15861944389268,85.88666666666666,70.97259967171652,98.20169772226679,74.92380862233966,68.69225796727477,73.45903351888636,72.74009975083354,67.3799916980754,72.09666666666666,68.8193781094737
16,Canada,2016,95.7403912183263,80.59631697037518,80.39298018891238,83.50581909368991,81.21091880756855,68.07642678844826,95.2713701248912,83.6694063912894,87.28666666666668,70.97259967171652,96.32409323678759,83.5689969409092,68.69225796727477,73.45903351888636,80.8236966671271,67.3799916980754,73.91666666666667,68.8193781094737
17,Chad,2014,17.52,38.0448334245869,34.19,28.415388609796498,60.38,3.0,19.86,28.342291555259763,41.67333333333333,3.0,14.95,28.40191514575697,18.916666666666668,22.346666666666664,47.84,3.14,34.876666666666665,1.0
18,Chile,2006,88.436778909,63.7407579027148,65.9183358638552,62.76721344225487,68.60704680136949,50.90763881380939,88.1336873340621,66.31861944389267,67.95,61.6217064536942,89.38688121503071,64.55775708922147,60.97320893606089,63.1349673472142,66.99403611673151,52.980375078631,60.16,49.2099404909136
19,Chile,2013,93.5745039311119,80.5213678187125,90.30105073193279,78.72666666666667,89.1257644499049,75.41674759777429,92.5994672996508,79.80666666666667,87.68,69.741161255967,94.63804549081,79.2662882510471,66.81757307557939,72.9414482961924,89.6890525036635,75.5304588516856,73.36,75.3039017801587
